"id","creator_or_publication","public_url","fit","proposed_angle","contact_status","approval_status","notes"
"C01","Life Well Cruised","https://lifewellcruised.com/","Mainstream cruise tips audience","Use calculator to show the real total behind a cheap fare","not contacted","approval required","Research only."
"C02","Eat Sleep Cruise","https://eatsleepcruise.com/","Cruise reviews and planning guides","Drink package break-even and hidden-fee calculator demo","not contacted","approval required","Research only."
"C03","Ben and David","https://www.youtube.com/@Cruisewith","Cruise video audience","Real cost of a cruise before booking","not contacted","approval required","Public channel only."
"C04","The Disney Cruise Line Blog","https://disneycruiselineblog.com/","Disney cruise planning audience","Disney family budget calculator angle","not contacted","approval required","Research only."
"C05","Philatravelgirl","https://philatravelgirl.com/first-time-cruise-tips-real-costs-cruise/","First-time cruise cost content","First cruise real-cost checklist collaboration","not contacted","approval required","Public article source."
"C06","CodeFunTravel","https://www.youtube.com/@CodeFunTravel","Carnival tips audience","Carnival CHEERS and WiFi real-cost demo","not contacted","approval required","Public channel only."
"C07","Bryan James","https://www.youtube.com/results?search_query=Bryan+James+cruise","Royal Caribbean content fit","Royal Caribbean fare plus add-ons calculator walkthrough","not contacted","approval required","Use exact channel URL after manual verification."
"C08","The Life of a Cruiser","https://www.youtube.com/results?search_query=The+Life+of+a+Cruiser","Cruise lifestyle and casino/accessible topics","Onboard spending and hidden-cost planning","not contacted","approval required","Use exact channel URL after manual verification."
"C09","MH Family Adventures Cruise Travel","https://www.youtube.com/results?search_query=MH+Family+Adventures+Cruise+Travel","Family and Carnival cruise content","Family cruise budget before booking","not contacted","approval required","Use exact channel URL after manual verification."
"C10","Cruise Radio","https://cruiseradio.net/","Cruise news and podcast audience","Cost calculator as planning utility","not contacted","approval required","Research only."
