Keyword,Exact user intent,Monthly search volume if available,Search Console impressions,Search Console clicks,CTR,Average position,Current ranking CruiseKit page,Best target CruiseKit page,Existing or new page?,Priority score,Recommended title tag,Recommended meta description,Recommended H1,Recommended H2/FAQ additions,Recommended CTA,Internal links to add,Content action,Tracking notes
"cruise cost calculator","Wants a tool to estimate total cruise cost before booking","Unavailable - Keyword Planner blocked","Unavailable - GSC blocked","Unavailable - GSC blocked","Unavailable - GSC blocked","Unavailable - GSC blocked","Unknown without GSC","/calculator","Existing",96,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Use CruiseKit's free cruise cost calculator to estimate the real price of your cruise, including gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.","Cruise Cost Calculator","Add FAQ: What costs should I include in a cruise budget?; What is not included in the advertised fare?","Calculate my real cruise cost","Homepage, cruise costs hub, FAQ, blog cost posts","A;B;D;E","Track calculator_started and calculator_completed"
"real cruise cost calculator","Wants actual total, not advertised fare","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",95,"Free Cruise Cost Calculator: See the Real Total Before You Book","Estimate the real total cruise cost after gratuities, drinks, WiFi, excursions, insurance, port spending, and other add-ons.","See What Your Cruise Will Actually Cost","Add H2: Real cruise cost vs advertised fare","Calculate my real cruise cost","Homepage hero, hidden costs post, cost hub","A;B;D;E","Track result_shared after completion"
"cruise budget calculator","Wants a planning budget for a cruise vacation","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",94,"Cruise Budget Calculator: Plan Fare, Fees & Onboard Spending","Build a realistic cruise budget before booking with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, and insurance.","Cruise Budget Calculator","Add H2: How to budget for a cruise; FAQ: How much spending money do you need for a cruise?","Build my cruise budget","Homepage, first-time guide, port-day guide","A;B;D","Track UTM landing visits from budget campaigns"
"cruise vacation cost calculator","Wants total vacation cost, not only cruise fare","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",89,"Cruise Vacation Cost Calculator: Estimate Your Full Trip","Estimate your full cruise vacation cost including fare, fees, gratuities, add-ons, excursions, hotel, parking, and port spending.","Cruise Vacation Cost Calculator","Add H2: Cruise fare is only one part of the vacation cost","Estimate my trip total","Cost hub, first-time guide","B;C;D","Track calculator_cta_clicked from guide pages"
"how much does a cruise really cost","Researching realistic cruise total before booking","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/how-much-does-a-cruise-really-cost-2026","Existing",93,"How Much Does a Cruise Really Cost in 2026? Real Fare + Fees","See what a cruise really costs after taxes, gratuities, drink packages, WiFi, excursions, port spending, and pre-cruise expenses.","How Much Does a Cruise Really Cost?","Add H2: Real examples by trip length; FAQ: Why does the final cruise price change?","Calculate your cruise total","Calculator, cost hub, hidden costs, line calculators","A;B;C;D","Track blog_cta_click"
"how much does a cruise actually cost","Researching actual total cost; similar to really cost","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/how-much-does-a-cruise-really-cost-2026","Existing",90,"How Much Does a Cruise Actually Cost in 2026?","Estimate the actual cost of a cruise after fees, gratuities, drinks, WiFi, excursions, and port spending.","How Much Does a Cruise Actually Cost?","Use as FAQ/H2 under the existing real-cost post","Calculate your cruise total","Calculator and FAQ","B;C;D","Track blog_cta_click"
"how much does a 7 day cruise cost per person","Wants average 7-night per-person cost","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/how-much-does-a-cruise-really-cost-2026","Existing",86,"How Much Does a 7-Day Cruise Cost Per Person?","Estimate the real per-person cost of a 7-day cruise including fare, taxes, gratuities, drinks, WiFi, and excursions.","How Much Does a 7-Day Cruise Cost?","Add H2 with 7-night per-person example table","Run a 7-day cruise estimate","Calculator, line calculators","B;C;D","Track CTA by article section"
"what is the average cost of a 7 day cruise","Wants benchmark cost before booking","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/how-much-does-a-cruise-really-cost-2026","Existing",84,"Average Cost of a 7-Day Cruise: Fare + Real Extras","See the average cost of a 7-day cruise after gratuities, WiFi, drinks, excursions, port fees, and spending money.","Average Cost of a 7-Day Cruise","Add FAQ with range by cruise line and cabin type","Compare your cruise budget","Calculator, cost hub","B;C","Track blog_cta_click"
"how much does a cruise cost for a family of 4","Family budgeting for total cruise cost","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",90,"Family Cruise Cost Calculator: Estimate a Cruise for 4","Estimate the real cost of a family cruise after fare, taxes, gratuities, excursions, WiFi, kids expenses, and port spending.","Family Cruise Cost Calculator","Add preset/helper text for two adults and two kids","Estimate my family cruise","Disney cost blog, first-time guide","B;D","Track calculator_started with guests count if privacy-safe"
"hidden cruise costs","Wants list of fees not included in fare","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/hidden-cruise-costs","Existing",92,"Hidden Cruise Costs: 15 Fees to Budget Before You Book","Avoid cruise sticker shock by budgeting for gratuities, taxes, drinks, WiFi, excursions, port spending, specialty dining, and insurance.","Hidden Cruise Costs","Add FAQ: What costs are not included on a cruise?; Are port fees included?","Check your real cruise total","Calculator, cost hub, FAQ","A;B;C;D","Track blog_cta_click"
"hidden cruise costs nobody tells you","Wants surprising hidden fees list","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/hidden-cruise-costs","Existing",84,"Hidden Cruise Costs Nobody Tells You About","See the cruise costs that surprise first-time cruisers, from gratuities and WiFi to port spending and drink packages.","Hidden Cruise Costs Nobody Tells You About","Consolidate older/duplicate hidden-cost post targeting if GSC shows cannibalization","Calculate hidden costs","Calculator, first-time guide","A;C","Check cannibalization between hidden-cost posts"
"cruise hidden fees calculator","Wants calculator specifically for fees/extras","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",91,"Cruise Hidden Fees Calculator: Estimate the Real Total","Add up cruise hidden fees before booking: gratuities, taxes, port fees, drinks, WiFi, excursions, dining, and port spending.","Cruise Hidden Fees Calculator","Add H2: Common hidden fees the calculator includes","Calculate hidden fees","Hidden costs blog, FAQ","B;D;E","Track calculator_cta_clicked from hidden-cost copy"
"cruise gratuity calculator","Wants gratuity/tip total by line and length","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing now; possible new calculator later",88,"Cruise Gratuity Calculator + Tipping Guide","Estimate cruise gratuities by line, guests, and nights, and understand auto-gratuities, cash tips, and prepaid tips.","Cruise Gratuity Calculator","Add table or calculator embed for per-day gratuity by line","Estimate cruise gratuities","Calculator, cost hub, line calculators","A;B;C","Track CTA to full calculator"
"cruise ship gratuities calculator","Wants tip calculator for a cruise ship","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing",82,"Cruise Ship Gratuities Calculator + Tipping Guide","Estimate your cruise ship gratuities and learn when tips are automatic, prepaid, optional, or paid in cash.","Cruise Ship Gratuities Calculator","Add FAQ: Are cruise gratuities mandatory?","Estimate tips in full calculator","Calculator and FAQ","B;C","Track blog_cta_click"
"average gratuity for cruises","Wants benchmark tipping amount","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing",76,"Average Cruise Gratuities: What to Budget Per Day","See average cruise gratuities by line and cabin type before deciding whether to prepay tips.","Average Cruise Gratuities","Add H2 with average per-day range","Calculate my tips","Calculator, line cost blogs","B;C","None beyond guide CTA"
"cruise gratuities per day","Wants daily gratuity amount","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing",80,"Cruise Gratuities Per Day: 2026 Tipping Guide","See cruise gratuities per day by cruise line and learn how auto-gratuities affect your total cost.","Cruise Gratuities Per Day","Add line-by-line daily gratuity table","Add gratuities to my cruise budget","Calculator, line calculators","B;C","Track CTA"
"cruise drink package calculator","Wants break-even calculator for beverage package","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/drink-package-guide","Existing now; possible new calculator later",90,"Cruise Drink Package Calculator: Is It Worth It?","Use drink counts, service charges, and cruise-line pricing to decide whether a cruise drink package is worth it.","Cruise Drink Package Calculator","Add H2: Drink package break-even math; FAQ by line","Check my drink package math","Calculator, Carnival CHEERS post, line calculators","A;B;C;D","Track CTA to calculator section"
"cruise beverage package calculator","Wants drink package break-even under beverage wording","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/drink-package-guide","Existing",84,"Cruise Beverage Package Calculator: Break-Even Math","See whether a cruise beverage package is worth it after service charges and your real drink count.","Cruise Beverage Package Calculator","Use as synonym H2 in drink guide","Run the drink package estimate","Calculator and blog posts","B;C","Track CTA"
"is the drink package worth it on a cruise","Wants yes/no advice based on consumption","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/drink-package-guide","Existing",89,"Is the Cruise Drink Package Worth It? Break-Even Math","Find out when a cruise drink package is worth it based on drink count, package price, service charges, and cruise line.","Is the Drink Package Worth It?","Add FAQ: How many drinks per day to break even?","Calculate your break-even point","Calculator, line-specific posts","A;B;C;D","Track blog_cta_click"
"royal caribbean drink package worth it calculator","Wants Royal Caribbean-specific drink package math","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/royal-caribbean","Existing",88,"Royal Caribbean Drink Package Calculator: Is It Worth It?","Estimate whether the Royal Caribbean drink package is worth it after 18% gratuity and your expected drinks per day.","Royal Caribbean Drink Package Calculator","Add Royal-specific break-even section to line calculator page","Calculate Royal Caribbean drink costs","Drink-package guide, Royal cost blog","B;C;D","Track line calculator starts"
