Top pages,Clicks,Impressions,CTR,Position
https://cruisekit.app/,5,312,1.6%,54.99
https://cruisekit.app/guides/drink-package-guide/,1,270,0.37%,17.91
https://cruisekit.app/calculator/royal-caribbean/,1,48,2.08%,18.19
https://cruisekit.app/guides/drink-package-guide,1,7,14.29%,15.14
https://cruisekit.app/loyalty/,0,77,0%,38.78
https://cruisekit.app/calculator/,0,56,0%,50.75
https://cruisekit.app/blog/virgin-voyages-vs-celebrity/,0,28,0%,18.68
https://cruisekit.app/cruise-costs/,0,23,0%,70.13
https://cruisekit.app/cruises/,0,14,0%,51.71
https://cruisekit.app/methodology/,0,12,0%,64
https://cruisekit.app/faq/,0,4,0%,5.5
https://cruisekit.app/terms/,0,4,0%,7.75
https://cruisekit.app/blog/disney-cruise-vs-royal-caribbean-families/,0,4,0%,42
https://cruisekit.app/calculator/norwegian/,0,2,0%,4
https://cruisekit.app/compare/,0,1,0%,5
https://cruisekit.app/cruises,0,1,0%,5
https://cruisekit.app/guides/,0,1,0%,5
https://cruisekit.app/myday/,0,1,0%,5
https://cruisekit.app/ports/,0,1,0%,5
https://cruisekit.app/how-we-make-money/,0,1,0%,7
