Keyword,Exact user intent,Monthly search volume if available,Search Console impressions,Search Console clicks,CTR,Average position,Current ranking CruiseKit page,Best target CruiseKit page,Existing or new page?,Priority score,Recommended title tag,Recommended meta description,Recommended H1,Recommended H2/FAQ additions,Recommended CTA,Internal links to add,Content action,Tracking notes,Evidence source,Evidence strength,Authenticated decision,Tracking/source caveat
disney cruise wifi cost,Wants Disney cruise WiFi pricing.,1000,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/disney,Existing,85,Disney Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Disney cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Disney Cruise Cost Calculator,Add H2/FAQ: Disney cruise wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 1000/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
how many drinks break even?,Wants drink-package break-even math.,Unavailable,33,0,0%,9.42,/guides/drink-package-guide,/guides/drink-package-guide,Existing,85,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add FAQ: How many drinks break even on a cruise drink package?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",A;B;C;D;E,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 33 impressions / pos 9.42; GSC exact top non-click opportunity,Medium,Map for review before implementation,No reported Keyword Planner volume
royal caribbean cruise wifi cost,Wants Royal Caribbean cruise WiFi pricing.,1600,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/royal-caribbean,Existing,85,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Royal caribbean cruise wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 1600/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
royal caribbean wifi cost,Wants Royal Caribbean WiFi pricing.,1600,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/royal-caribbean,Existing,85,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Royal caribbean wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 1600/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
cruise cost calculator,Wants a tool to estimate the full cruise total before booking.,10,5,0,0%,9.2,/,/calculator,Existing,84,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Cruise cost calculator?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",A;B;C;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 5 impressions / pos 9.2; Keyword Planner 10/mo; Keyword Planner seed; Google Trends cost-calculator comparison,Medium,Map for review before implementation,Ready for review; do not implement until approved
msc drinks package prices,Wants MSC drink package prices.,1900,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/msc,Existing,84,MSC Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a MSC cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",MSC Cruise Cost Calculator,Add H2/FAQ: Msc drinks package prices?,Check my drink-package break-even point,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 1900/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
royal caribbean gratuity calculator,Wants to calculate Royal Caribbean gratuities.,210,1,0,0%,35,/calculator/royal-caribbean,/calculator/royal-caribbean,Existing,84,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Royal caribbean gratuity calculator?,Calculate my cruise gratuities,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 1 impressions / pos 35; Keyword Planner 210/mo; Keyword Planner related idea; GSC exact,Medium,Map for review before implementation,Ready for review; do not implement until approved
carnival cruise wifi cost,Wants Carnival WiFi pricing.,720,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/carnival,Existing,83,Carnival Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Carnival cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Carnival Cruise Cost Calculator,Add H2/FAQ: Carnival cruise wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 720/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
carnival wifi cost,Wants Carnival WiFi pricing.,720,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/carnival,Existing,83,Carnival Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Carnival cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Carnival Cruise Cost Calculator,Add H2/FAQ: Carnival wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 720/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
is cruise drink package worth it 2026,Wants current drink-package worth-it guidance.,Unavailable,2,0,0%,16.5,/guides/drink-package-guide,/guides/drink-package-guide,Existing,83,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add H2/FAQ: Is cruise drink package worth it 2026?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 2 impressions / pos 16.5; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
