Opportunity set,Query,Page,Clicks,Impressions,CTR,Average position,Country,Device,Export window,Opportunity reason,Best target page,Recommended action,Priority
Top page opportunity,,/,5,312,1.6%,54.99,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 312 impressions, 5 clicks, CTR 1.6%, avg position 54.99.",/,"Review title/meta, internal links, and query-page fit before implementation.",100
Top page opportunity,,/guides/drink-package-guide/,1,270,0.37%,17.91,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 270 impressions, 1 clicks, CTR 0.37%, avg position 17.91.",/guides/drink-package-guide/,"Review title/meta, internal links, and query-page fit before implementation.",100
High impressions / weak CTR,how many drinks break even?,All pages query export,0,33,0%,9.42,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 33 impressions, 0 clicks, position 9.42.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,85
Page-filter validation: High impressions / weak CTR,how many drinks break even?,/guides/drink-package-guide,0,33,0%,9.42,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,85
Ranking position 8-30,cruise cost calculator,All pages query export,0,5,0%,9.2,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 5 impressions, 0 clicks, position 9.2.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,84
Page-filter validation: Ranking position 8-30,cruise cost calculator,/,0,5,0%,9.2,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,84
Ranking position 30-70,royal caribbean gratuity calculator,All pages query export,0,1,0%,35,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 35.",/calculator/royal-caribbean,B. Add Royal-specific gratuity FAQ/H2; C. Add internal links; D. Improve line calculator CTA,84
Page-filter validation: Ranking position 30-70,royal caribbean gratuity calculator,/calculator/royal-caribbean,0,1,0%,35,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add Royal-specific gratuity FAQ/H2; C. Add internal links; D. Improve line calculator CTA,84
Ranking position 8-30,is cruise drink package worth it 2026,All pages query export,0,2,0%,16.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 16.5.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,83
Page-filter validation: Ranking position 8-30,is cruise drink package worth it 2026,/guides/drink-package-guide,0,2,0%,16.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,83
Ranking position 8-30,3 drinks per day,All pages query export,0,1,0%,8,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 8.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,83
Page-filter validation: Ranking position 8-30,3 drinks per day,/guides/drink-package-guide,0,1,0%,8,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,83
Ranking position 8-30,cruise calculator,All pages query export,2,9,22.22%,12.22,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 9 impressions, 2 clicks, position 12.22.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,82
