"rank","advisor_or_agency","public_url","fit","pilot_angle","contact_status","approval_status","notes"
"1","Global Gulls","https://www.globalgulls.com/","Cruise-only independent agency serving families and groups","Client true-cost handoff after booking","not contacted","approval required","Public site says the agency remains involved after booking."
"2","CodeFunTravel","https://www.codefuntravel.com/","First-time cruisers and hosted group trips","Carnival and Royal Caribbean calculator handoff","not contacted","approval required","Also appears in creator research; treat as one contact, not two."
"3","Vela Cruises","https://www.velacruises.com/","Cruise-only customized group travel","Reusable group-sailing budget link","not contacted","approval required","Confirm current contact owner before outreach."
"4","Langley Travels","https://langleytravels.com/","Family, Alaska, Disney, and group cruises","Family cruise total and client welcome link","not contacted","approval required","Independent Cruise Planners franchise."
"5","Teakwood Travel Group","https://teakwoodtravel.com/","Independent advisor team with Disney and major cruise lines","Disney family-budget handoff","not contacted","approval required","Agency-level pilot; ask for one advisor cohort only."
"6","Untold Adventures Travel","https://uatravelagency.com/services/","Boutique group cruise and resort planner","Group organizer budget and sailing handoff","not contacted","approval required","Focus on client utility, not promotion."
"7","Solo Ladies Will Travel","https://www.sololadieswilltravel.com/","Solo and group travel with Alaska cruise expertise","Solo-supplement and port budget planning","not contacted","approval required","Validate active cruise volume before sending."
"8","NestCruise","https://nestcruise.com/en","Independent cruise advisor with guided matching","Shortlist-to-true-cost continuation","not contacted","approval required","Potential product overlap; approach as validation, not integration."
"9","Nicholson Travel Group","https://www.nicholsontravelgroup.com/","Boutique luxury and cruise agency","Premium cruise full-trip budget handoff","not contacted","approval required","Lower initial priority because luxury audience may be less calculator-sensitive."
"10","CruiseOne advisor discovery","https://www.dreamvacationsfranchise.com/cruiseone-travel-agent/","Independent cruise advisor network","Identify one owner-led advisor for a small pilot","research only","approval required","Do not contact the network broadly; select a named advisor first."
