"id","date","platform","format","hook","mapped_page","utm_campaign","approval_status","notes"
"S01","2026-06-18","TikTok/Reels/Shorts","screen-record demo","That 499 dollar cruise is not a 499 dollar vacation.","/calculator","real_cruise_cost","draft","Owned channels only."
"S02","2026-06-19","TikTok/Reels/Shorts","talking-head plus calculator","Before you book a cruise add these 7 costs.","/blog/hidden-cruise-costs","hidden_cruise_costs","draft","No community posting."
"S03","2026-06-20","TikTok/Reels/Shorts","calculator demo","Are cruise prices per person or per room? This changes the whole budget.","/cruise-costs","cruise_costs_hub","draft","Use cost hub."
"S04","2026-06-21","TikTok/Reels/Shorts","line-item breakdown","A 7-day cruise for two: fare vs real total.","/blog/how-much-does-a-cruise-really-cost-2026","real_cruise_cost","draft","Use 7-day keyword."
"S05","2026-06-22","TikTok/Reels/Shorts","drink math","The drink package is not worth it until this number.","/guides/drink-package-guide","drink_package_math","draft","Calculator helper."
"S06","2026-06-23","TikTok/Reels/Shorts","Carnival demo","Carnival CHEERS looks simple until the cabin rule hits.","/blog/carnival-cheers-drink-package-worth-it","carnival_cost","draft","Carnival cluster."
"S07","2026-06-24","TikTok/Reels/Shorts","Royal demo","Royal Caribbean fare plus WiFi plus drinks plus tips.","/calculator/royal-caribbean","royal_caribbean_cost","draft","Royal calculator."
"S08","2026-06-25","TikTok/Reels/Shorts","NCL explainer","NCL Free at Sea is not zero dollars. Here is the math.","/blog/norwegian-free-at-sea-explained","ncl_free_at_sea","draft","NCL cluster."
"S09","2026-06-26","TikTok/Reels/Shorts","MSC explainer","MSC can be cheap until drinks and WiFi enter the chat.","/calculator/msc","msc_cost","draft","MSC cluster."
"S10","2026-06-27","TikTok/Reels/Shorts","Disney family budget","Disney cruise budget for a family: do not skip WiFi and tips.","/calculator/disney","disney_budget","draft","Disney cluster."
"S11","2026-06-28","TikTok/Reels/Shorts","cash tip answer","How much cash should you bring on a cruise?","/faq","cash_to_bring","draft","FAQ hook."
"S12","2026-06-29","TikTok/Reels/Shorts","port spending","Port days quietly break cruise budgets.","/blog/hidden-cruise-costs","hidden_cruise_costs","draft","Port spending."
"S13","2026-06-30","TikTok/Reels/Shorts","WiFi cost","Cruise WiFi is one of the easiest costs to forget.","/blog/hidden-cruise-costs","hidden_cruise_costs","draft","WiFi cluster."
"S14","2026-07-01","TikTok/Reels/Shorts","gratuity math","Daily gratuities are small until you multiply guests by nights.","/guides/cruise-tipping-guide","gratuity_math","draft","Tipping guide."
"S15","2026-07-02","TikTok/Reels/Shorts","share result","Send your cruise cost estimate before the group says yes.","/calculator","real_cruise_cost","draft","Share-loop CTA."
"S16","2026-07-03","TikTok/Reels/Shorts","first cruiser","First cruise? Price these before you book.","/blog/how-much-does-a-cruise-really-cost-2026","real_cruise_cost","draft","First-timer."
"S17","2026-07-04","TikTok/Reels/Shorts","couple budget","The cruise budget mistake couples make with drink packages.","/guides/drink-package-guide","drink_package_math","draft","Couple rule."
"S18","2026-07-05","TikTok/Reels/Shorts","Carnival WiFi","Carnival WiFi has tiers. Pick wrong and your budget shifts.","/calculator/carnival","carnival_cost","draft","Carnival WiFi."
"S19","2026-07-06","TikTok/Reels/Shorts","NCL WiFi","Free at Sea WiFi minutes are not unlimited WiFi.","/calculator/norwegian","norwegian_cost","draft","NCL WiFi."
"S20","2026-07-07","TikTok/Reels/Shorts","MSC drinks","MSC drinks package prices can change the whole value story.","/blog/msc-cruise-cost","msc_cost","draft","MSC drinks."
"S21","2026-07-08","TikTok/Reels/Shorts","Disney WiFi","Disney cruise WiFi by device adds up fast for families.","/blog/disney-cruise-cost","disney_budget","draft","Disney WiFi."
"S22","2026-07-09","TikTok/Reels/Shorts","hidden fees","The cruise costs nobody includes in the first screenshot.","/blog/hidden-cruise-costs","hidden_cruise_costs","draft","Hidden costs."
"S23","2026-07-10","TikTok/Reels/Shorts","cost hub","If a cruise fare feels too low, run this checklist.","/cruise-costs","cruise_costs_hub","draft","Hub CTA."
"S24","2026-07-11","TikTok/Reels/Shorts","calculator proof","I put a cheap cruise fare into a calculator and the total changed fast.","/calculator","real_cruise_cost","draft","Demo."
"S25","2026-07-12","TikTok/Reels/Shorts","excursions","Three port stops can add hundreds before souvenirs.","/blog/hidden-cruise-costs","hidden_cruise_costs","draft","Excursion budget."
"S26","2026-07-13","TikTok/Reels/Shorts","taxes fees","Taxes and port fees are not optional.","/cruise-costs","cruise_costs_hub","draft","Cost hub FAQ."
"S27","2026-07-14","TikTok/Reels/Shorts","app save","Calculate the cruise cost then save the trip in the free app.","/calculator","real_cruise_cost","draft","App retention CTA."
"S28","2026-07-15","TikTok/Reels/Shorts","family of four","Family of four cruise math is not just four fares.","/calculator/disney","disney_budget","draft","Family budget."
"S29","2026-07-16","TikTok/Reels/Shorts","port cash","Your ship account is cashless. The port is not always cashless.","/faq","cash_to_bring","draft","Cash FAQ."
